Coin,FinalValue,Trades,Sharpe,FinalValue_LR,Trades_LR,Sharpe_LR,Pct_Change_FinalValue_LR_vs_MA
Aave,33317.03926163497,15,1.6414796061729555,7465.583147666811,43,-0.8806237051102261,-0.7759229717550703
BinanceCoin,6028845.802156418,71,1.6425055622455162,64111.80186242624,248,2.0467012072994795,-0.9893658249080621
Bitcoin,6235132.061597793,157,1.3715258560276773,30711.722300989895,508,0.9230931423817813,-0.9950744070859151
Cardano,7447077.5784026515,68,1.5341994892652355,163633.483349036,244,2.7615237895695817,-0.978027154729314
ChainLink,962060.7416388748,76,1.355854681281971,158479.49559648862,228,2.4487278267243777,-0.8352708007536842
Cosmos,23408.44747914734,53,0.718505081474095,22529.799092934598,115,1.4451695135863052,-0.03753552588207561
CryptocomCoin,174636.0654682903,43,1.13498208885805,9461.456307712293,144,0.3709812200936705,-0.9458218651322612
Dogecoin,67600056.19471855,162,1.2244603708031139,46153.76158627192,458,0.6436454258633617,-0.9993172526150964
EOS,66827.48466542586,82,0.7998607181354578,30342.666012752128,209,1.1403785763049297,-0.5459552882371116
Ethereum,126684892.91098146,107,1.8418224857258876,30817.310088045375,334,1.056246612435662,-0.9997567404496313
Iota,303542.3216426223,88,1.1133867930367431,66214.67759314421,230,1.8296859776588883,-0.7818601464374957
Litecoin,10033860.293035474,167,1.0358630653827292,19473.720770810723,480,0.6207628918276877,-0.9980591995301822
Monero,11003959.808344364,138,1.1970936934145915,51691.50592024641,392,1.1822514564504405,-0.9953024632204629
NEM,266524959.92060342,127,1.4425455049122584,13332.069748678698,308,0.5165654811771555,-0.9999499781568201
Polkadot,22970.56919841149,24,1.1719529471390935,10916.3510657405,52,0.7189333272949474,-0.5247679336350354
Solana,211466.43770888026,27,2.069587272014954,23045.091255854666,55,1.932620464825419,-0.8910224643421658
Stellar,1558690.7236369532,148,0.9223961091505563,24104.487324405327,394,0.7753550119595836,-0.9845354264583283
Tether,6460.781038212009,218,-0.7631448846928931,11909.661186361955,401,1.2967860578116925,0.8433779315415243
Tron,621388.1040927515,84,1.0997879641978745,31303.31901520651,250,1.3925189710699393,-0.9496235624579417
USDCoin,7076.938959007324,130,-1.6238911954003679,9952.85072067136,41,-0.4805770275182315,0.40637792389090177
Uniswap,66494.39486555298,15,2.116270078084754,9144.353672819667,34,0.32385190932349217,-0.8624793309073809
WrappedBitcoin,66868.80930514817,51,1.2924480194597674,18047.04524560402,110,1.4682761230333816,-0.7301126574088018
XRP,54743321.74219046,166,1.1399008503555814,11000.701184360014,450,0.38294936315871847,-0.9997990494395614
