,Coin,FinalValue_LR,Trades_LR,Sharpe_LR
1,Cardano,163633.483349036,244,2.7615237895695817
2,ChainLink,158479.49559648862,228,2.4487278267243777
3,Iota,66214.67759314421,230,1.8296859776588883
4,BinanceCoin,64111.80186242624,248,2.0467012072994795
5,Monero,51691.50592024641,392,1.1822514564504405
6,Dogecoin,46153.76158627192,458,0.6436454258633617
7,Tron,31303.31901520651,250,1.3925189710699393
8,Ethereum,30817.310088045375,334,1.056246612435662
9,Bitcoin,30711.722300989895,508,0.9230931423817813
10,EOS,30342.666012752128,209,1.1403785763049297
11,Stellar,24104.487324405327,394,0.7753550119595836
12,Solana,23045.091255854666,55,1.932620464825419
13,Cosmos,22529.799092934598,115,1.4451695135863052
14,Litecoin,19473.720770810723,480,0.6207628918276877
15,WrappedBitcoin,18047.04524560402,110,1.4682761230333816
16,NEM,13332.069748678698,308,0.5165654811771555
17,Tether,11909.661186361955,401,1.2967860578116925
18,XRP,11000.701184360014,450,0.38294936315871847
19,Polkadot,10916.3510657405,52,0.7189333272949474
20,USDCoin,9952.85072067136,41,-0.4805770275182315
21,CryptocomCoin,9461.456307712293,144,0.3709812200936705
22,Uniswap,9144.353672819667,34,0.32385190932349217
23,Aave,7465.583147666811,43,-0.8806237051102261
