,equity
479,10000.0
480,10000.0
481,10000.0
482,10000.0
483,10000.0
484,10000.0
485,10000.0
486,10000.0
487,10000.0
488,10000.0
489,10000.0
490,10000.0
491,10000.0
492,10000.0
493,10000.0
494,10000.0
495,10000.0
496,10000.0
497,10000.0
498,10000.0
499,10000.0
500,10000.0
501,10000.0
502,10000.0
503,10000.0
504,10000.0
505,10000.0
506,10000.0
507,10000.0
508,10000.0
509,10000.0
510,10000.0
511,10000.0
512,10000.0
513,9995.002498750626
514,10540.896053956158
515,11112.450462644952
516,10755.044096719224
517,10616.771130421776
518,10708.983778118036
519,11043.22163320028
520,12324.788109457983
521,12384.78701037063
522,12816.406219398
523,12592.84221229354
524,13225.964401538366
525,13071.260510298911
526,14870.937402454709
527,16985.467486433296
528,17702.864571409184
529,16391.113280489913
530,14964.535580429163
531,14186.586188359832
532,13060.091645317132
533,14753.709317959096
534,13910.315615633242
535,13987.390858171802
536,14127.695443017014
537,14552.11499885188
538,14059.666779645288
539,15048.07170576496
540,14969.8883076658
541,14523.500407060395
542,14791.739874091973
543,14854.783852211838
544,15220.405344801893
545,15377.786271273018
546,15650.362992069413
547,18316.140701716875
548,18216.081640935954
549,19417.06573016608
550,19270.116241517397
551,19381.528188267872
552,19296.883907353014
553,20250.02933788696
554,17287.02818422342
555,16412.80492217467
556,17148.663207432088
557,18548.74994475223
558,19372.297588122492
559,18804.619709124963
560,19711.15007166869
561,18346.32417315174
562,17842.337703770347
563,17598.37423154796
564,17602.066740242226
565,17654.433503055883
566,17654.433503055883
567,17654.433503055883
568,17654.433503055883
569,17654.433503055883
570,17654.433503055883
571,17654.433503055883
572,17654.433503055883
573,17645.61069770703
574,16719.799604441323
575,16186.188965815498
576,15521.70530413724
577,14272.90221357978
578,14272.90221357978
579,14272.90221357978
580,14272.90221357978
581,14272.90221357978
582,14272.90221357978
583,14272.90221357978
584,14272.90221357978
585,14272.90221357978
586,14272.90221357978
587,14272.90221357978
588,14272.90221357978
589,14265.769328915323
590,13966.569397078041
591,13877.536212287461
592,13944.386567672696
593,13251.728132575567
594,13051.763832289738
595,13051.763832289738
596,13051.763832289738
597,13051.763832289738
598,13051.763832289738
599,13051.763832289738
600,13051.763832289738
601,13051.763832289738
602,13051.763832289738
603,13051.763832289738
604,13051.763832289738
605,13051.763832289738
606,13051.763832289738
607,13051.763832289738
608,13051.763832289738
609,13051.763832289738
610,13051.763832289738
611,13051.763832289738
612,13051.763832289738
613,13051.763832289738
614,13051.763832289738
615,13051.763832289738
616,13051.763832289738
617,13051.763832289738
618,13051.763832289738
619,13051.763832289738
620,13051.763832289738
621,13051.763832289738
622,13051.763832289738
623,13051.763832289738
624,13051.763832289738
625,13051.763832289738
626,13051.763832289738
627,13051.763832289738
628,13051.763832289738
629,13051.763832289738
630,13051.763832289738
631,13051.763832289738
632,13051.763832289738
633,13045.241211683897
634,13274.414056756445
635,12908.426937290897
636,12761.980703283962
637,12761.980703283962
638,12761.980703283962
639,12761.980703283962
640,12761.980703283962
641,12761.980703283962
642,12761.980703283962
643,12761.980703283962
644,12761.980703283962
645,12761.980703283962
646,12761.980703283962
647,12761.980703283962
648,12761.980703283962
649,12761.980703283962
650,12761.980703283962
651,12761.980703283962
652,12761.980703283962
653,12761.980703283962
654,12761.980703283962
655,12761.980703283962
656,12761.980703283962
657,12761.980703283962
658,12761.980703283962
659,12761.980703283962
660,12761.980703283962
661,12761.980703283962
662,12761.980703283962
663,12761.980703283962
664,12761.980703283962
665,12761.980703283962
666,12761.980703283962
667,12761.980703283962
668,12761.980703283962
669,12761.980703283962
670,12755.602901833046
671,12514.424635253976
672,12514.424635253976
673,12514.424635253976
674,12514.424635253976
675,12514.424635253976
676,12514.424635253976
677,12514.424635253976
678,12514.424635253976
679,12514.424635253976
680,12514.424635253976
681,12514.424635253976
682,12508.170549978988
683,13356.99313529324
684,12138.07677528651
685,12511.623494180078
686,13042.23794509067
687,13799.688927079253
688,13204.263486535481
689,12948.297248202569
690,12522.956366266113
691,12800.437796858667
692,12044.933605433813
693,11939.041598684124
694,10901.010555207306
695,11053.168664395002
696,11053.168664395002
697,11053.168664395002
698,11053.168664395002
699,11053.168664395002
700,11053.168664395002
701,11053.168664395002
702,11053.168664395002
703,11053.168664395002
704,11053.168664395002
705,11053.168664395002
706,11053.168664395002
707,11053.168664395002
708,11053.168664395002
709,11053.168664395002
710,11053.168664395002
711,11047.644841974015
712,10801.227726528228
713,10827.07483843255
714,10675.068858618843
715,10570.880378072123
716,10570.880378072123
717,10570.880378072123
718,10570.880378072123
719,10570.880378072123
720,10570.880378072123
721,10570.880378072123
722,10565.597579282483
723,11050.04486943496
724,10800.523051523358
725,11635.960486733928
726,11003.15241433172
727,11133.968208328319
728,11261.213998268378
729,11645.044791348377
730,11651.332969364152
731,12034.775129094818
732,12044.946251394189
733,11854.349835782677
734,11126.515259995947
735,11079.856662756682
736,11042.281240377166
737,11406.780913421066
738,11439.853159805312
739,11418.115676282334
740,10782.9400319869
741,10782.9400319869
742,10782.9400319869
743,10782.9400319869
744,10782.9400319869
745,10777.551256358722
746,11019.287811822205
747,10758.85123796411
748,10403.132332115047
749,10252.251589424643
750,9780.870884076649
751,9780.870884076649
752,9780.870884076649
753,9780.870884076649
754,9775.982892630334
755,9068.199355761186
756,9280.458463342851
757,9773.917116334314
758,9628.532670273897
759,9505.929519735875
760,8108.630048002506
761,8428.758123085941
762,8272.500462320275
763,8219.27210853356
764,8048.331047136829
765,8048.331047136829
766,8048.331047136829
767,8044.308892690484
768,8239.576046759206
769,9236.759795012555
770,10122.96931983375
771,17034.402403976783
772,21758.448166634516
773,16454.098896714466
774,15128.202567416836
775,12335.075869719365
776,13245.66995876088
777,12920.639379425029
778,12540.574980912777
779,12674.737048433093
780,13722.697910187897
781,14606.708113880106
782,14636.974000937842
783,13629.320343064084
784,13717.29457963751
785,13955.642266915991
786,14252.033663652162
787,13855.570024730516
788,14376.681806126127
789,14097.86116505707
