,equity
379,10000.0
380,10000.0
381,10000.0
382,10000.0
383,10000.0
384,10000.0
385,10000.0
386,10000.0
387,10000.0
388,10000.0
389,9995.002498750626
390,10271.156582786125
391,10372.285006202814
392,10068.90055257802
393,10001.424439864744
394,10033.192796072954
395,10009.302423833191
396,9888.393703154788
397,9715.421855087096
398,9978.218399600266
399,10419.80933034792
400,9965.88817466613
401,10184.499575758458
402,10205.907407180961
403,10209.760245199323
404,10221.577629464631
405,10751.45228477547
406,10873.730486029708
407,10644.757743526405
408,11293.657165020446
409,12356.574165059934
410,11789.879509627874
411,11343.835521289262
412,11415.507454633815
413,11027.264202823328
414,11218.217322685492
415,10980.339281625545
416,11215.99120220265
417,11367.127307206969
418,11194.669116433375
419,11324.31246098723
420,11279.699405925521
421,11302.81970053677
422,11519.204981146255
423,11369.011261702171
424,11162.387102931067
425,11001.551649706827
426,11001.551649706827
427,11001.551649706827
428,11001.551649706827
429,11001.551649706827
430,11001.551649706827
431,11001.551649706827
432,11001.551649706827
433,11001.551649706827
434,11001.551649706827
435,11001.551649706827
436,11001.551649706827
437,11001.551649706827
438,11001.551649706827
439,11001.551649706827
440,11001.551649706827
441,11001.551649706827
442,11001.551649706827
443,11001.551649706827
444,11001.551649706827
445,11001.551649706827
446,11001.551649706827
447,11001.551649706827
448,11001.551649706827
449,11001.551649706827
450,11001.551649706827
451,11001.551649706827
452,11001.551649706827
453,11001.551649706827
454,11001.551649706827
455,11001.551649706827
456,11001.551649706827
457,11001.551649706827
458,11001.551649706827
459,11001.551649706827
460,11001.551649706827
461,11001.551649706827
462,11001.551649706827
463,11001.551649706827
464,11001.551649706827
465,11001.551649706827
466,11001.551649706827
467,11001.551649706827
468,11001.551649706827
469,11001.551649706827
470,11001.551649706827
471,11001.551649706827
472,11001.551649706827
473,11001.551649706827
474,11001.551649706827
475,11001.551649706827
476,11001.551649706827
477,11001.551649706827
478,11001.551649706827
479,11001.551649706827
480,11001.551649706827
481,11001.551649706827
482,11001.551649706827
483,11001.551649706827
484,11001.551649706827
485,11001.551649706827
486,11001.551649706827
487,11001.551649706827
488,11001.551649706827
489,11001.551649706827
490,11001.551649706827
491,11001.551649706827
492,11001.551649706827
493,11001.551649706827
494,10996.05362289538
495,10414.988641925744
496,10454.554516336297
497,10473.767331044335
498,10473.767331044335
499,10473.767331044335
500,10473.767331044335
501,10473.767331044335
502,10473.767331044335
503,10473.767331044335
504,10473.767331044335
505,10473.767331044335
506,10473.767331044335
507,10473.767331044335
508,10473.767331044335
509,10473.767331044335
510,10473.767331044335
511,10468.53306451208
512,10735.819813565317
513,11006.351276474625
514,12775.483274263608
515,14780.55858637031
516,13470.59619391445
517,13470.989568490051
518,12961.941570313082
519,13517.098330448602
520,13564.12663679725
521,13858.382094414044
522,12765.643898732502
523,12954.24320481287
524,12833.61125812762
525,12672.243745518059
526,13010.637333859579
527,12658.897824008904
528,13533.519839802022
529,13435.653507090708
530,13658.183249494547
531,13925.378545222884
532,14330.767331587973
533,14060.158195991762
534,14214.641653528312
535,13967.282959806544
536,13885.838136448647
537,13910.271207620433
538,13842.224922753143
539,13878.61207099621
540,13772.208006652034
541,13886.757680838746
542,14092.079164737961
543,14098.121348107781
544,14215.429655464786
545,14600.458175579357
546,15019.509838127571
547,14913.76098048097
548,14961.577288766093
549,15126.96498931547
550,15016.488120050028
551,14492.345312123334
552,14816.420817584156
553,14909.163258530476
554,14974.452163012742
555,14804.072113152002
556,17110.43100825486
557,16971.841637471956
558,16950.82365895332
559,16652.365106746904
560,16827.99808525572
561,16760.083342842052
562,16328.684228646958
563,16641.723948641324
564,16551.477055958047
565,17234.176126342554
566,17168.23076237744
567,17798.122427950733
568,19074.06167797295
569,20225.46655518572
570,20778.11523920547
571,22791.271016320527
572,24998.84152875143
573,25562.131370876756
574,24458.54280194911
575,25356.28371716304
576,25754.842318221843
577,24812.83047704428
578,21873.82378876838
579,23323.293843611962
580,25395.693836268925
581,28207.146939228387
582,30788.71394466322
583,37560.792564439114
584,37641.845266006676
585,46050.85321210844
