,equity
452,10000.0
453,10000.0
454,10000.0
455,10000.0
456,10000.0
457,10000.0
458,10000.0
459,10000.0
460,10000.0
461,10000.0
462,10000.0
463,10000.0
464,10000.0
465,10000.0
466,10000.0
467,10000.0
468,10000.0
469,10000.0
470,10000.0
471,10000.0
472,10000.0
473,10000.0
474,9995.002498750626
475,9821.89126642843
476,9783.926660619212
477,9194.273791936223
478,9142.759144315358
479,9521.669088350767
480,9516.910633034251
481,9660.78798750642
482,9372.99545264859
483,9480.178848204714
484,9403.987296247273
485,9206.082681426016
486,9101.532421101596
487,8933.711840940243
488,8933.711840940243
489,8933.711840940243
490,8933.711840940243
491,8933.711840940243
492,8933.711840940243
493,8933.711840940243
494,8933.711840940243
495,8933.711840940243
496,8933.711840940243
497,8933.711840940243
498,8933.711840940243
499,8933.711840940243
500,8933.711840940243
501,8933.711840940243
502,8933.711840940243
503,8933.711840940243
504,8933.711840940243
505,8933.711840940243
506,8933.711840940243
507,8933.711840940243
508,8933.711840940243
509,8933.711840940243
510,8933.711840940243
511,8933.711840940243
512,8933.711840940243
513,8929.247217331578
514,8785.763715840598
515,8708.062642455385
516,8598.047325504964
517,8786.286463440574
518,8583.339610732479
519,8620.122497867866
520,8615.81459057258
521,8211.40330411772
522,8668.876757588168
523,9499.731979083703
524,9463.200133257953
525,9660.865709830272
526,8562.286905086483
527,8963.734769082752
528,9373.944851336213
529,9370.15636362095
530,10707.016916096858
531,9154.753776381722
532,9295.822904108842
533,9580.351830299158
534,10533.141982659548
535,10006.584452754983
536,9756.365120938392
537,9530.84539176358
538,9382.178472739364
539,9579.94939021219
540,8992.2657527406
541,9113.790174216272
542,9113.790174216272
543,9113.790174216272
544,9113.790174216272
545,9113.790174216272
546,9113.790174216272
547,9113.790174216272
548,9113.790174216272
549,9113.790174216272
550,9113.790174216272
551,9113.790174216272
552,9113.790174216272
553,9113.790174216272
554,9113.790174216272
555,9113.790174216272
556,9113.790174216272
557,9113.790174216272
558,9113.790174216272
559,9113.790174216272
560,9113.790174216272
561,9113.790174216272
562,9109.235556438054
563,8723.039815941247
564,8890.028386361413
565,9360.308018704382
566,8932.971248756165
567,9489.115625642033
568,9427.662015084883
569,9631.506091055275
570,11072.388084150012
571,11519.55982606077
572,10745.907062006823
573,10378.139382818168
574,10341.014219392518
575,9752.466468698263
576,10507.029676610067
577,10119.612762347899
578,9940.594488766656
579,9985.00781962167
580,10146.798842479602
581,10024.740704286543
582,9244.765079502919
583,9244.765079502919
584,9244.765079502919
585,9244.765079502919
586,9244.765079502919
587,9244.765079502919
588,9244.765079502919
589,9244.765079502919
590,9240.145006999419
591,9555.51795097016
592,9220.937825105582
593,9327.705670400248
594,9096.40322647669
595,9020.459561615846
596,9052.189170013198
597,9023.432887973897
598,8902.850248480656
599,9051.782415444779
600,8944.460855541412
601,8984.741116469735
602,7909.0974849314625
603,7909.0974849314625
604,7909.0974849314625
605,7909.0974849314625
606,7909.0974849314625
607,7905.144912475225
608,8115.916689193193
609,7933.214530861005
610,9100.678892257452
611,9189.761648276393
612,8588.545944252584
613,8642.143003646106
614,9024.595846883467
615,8319.30144615904
616,7656.288025338983
617,7556.9819650737545
618,7141.865620741494
619,7352.888173967894
620,7352.888173967894
621,7352.888173967894
622,7352.888173967894
623,7352.888173967894
624,7352.888173967894
625,7352.888173967894
626,7352.888173967894
627,7352.888173967894
628,7352.888173967894
629,7352.888173967894
630,7352.888173967894
631,7349.213567184302
632,7733.820133459618
633,7233.499430970733
634,8550.153611623486
635,6699.050939011764
636,7077.123648142153
637,7484.235177736857
638,7533.366276086533
639,7146.7042978861555
640,7109.076752976103
641,6912.6073666267985
642,7321.253647362155
643,7368.548272735862
644,7434.044240593814
645,7581.200079469199
646,7953.864125158205
647,7954.028601682149
648,7748.375761204498
649,7562.313599676601
650,9959.72559119588
651,10044.884128404781
652,10980.176069448245
653,10991.414935501656
654,9787.944566790122
655,10841.74674495422
656,11352.15552245315
657,10003.584182167044
658,10026.609806270839
659,10549.171329317147
660,11372.71399869777
661,10199.213213296325
662,10450.488682695659
663,10481.463642373963
664,11889.152855909015
665,10478.357105643558
666,11041.944084304861
667,13858.875779740169
668,13626.698104343002
669,12680.075800371884
670,13293.552538965167
671,15548.998416101353
672,14642.7632681225
673,15515.373314815379
674,13988.259984665721
675,13609.79405682577
676,13625.601231100536
677,13210.220671495708
678,12798.129642369782
679,13353.492794833839
680,14149.441531889302
681,14100.374154577048
682,14587.847715597927
683,13900.359808974905
684,13815.56508076599
685,13708.385206573008
686,11306.02103115184
687,11306.02103115184
688,11306.02103115184
689,11306.02103115184
690,11306.02103115184
691,11306.02103115184
692,11306.02103115184
693,11306.02103115184
694,11306.02103115184
695,11306.02103115184
696,11306.02103115184
697,11306.02103115184
698,11306.02103115184
699,11306.02103115184
700,11306.02103115184
701,11306.02103115184
702,11306.02103115184
703,11306.02103115184
704,11306.02103115184
705,11306.02103115184
706,11306.02103115184
707,11306.02103115184
708,11306.02103115184
709,11306.02103115184
710,11306.02103115184
711,11306.02103115184
712,11306.02103115184
713,11306.02103115184
714,11306.02103115184
715,11306.02103115184
716,11306.02103115184
717,11306.02103115184
718,11306.02103115184
719,11306.02103115184
720,11306.02103115184
721,11306.02103115184
722,11306.02103115184
723,11306.02103115184
724,11306.02103115184
725,11306.02103115184
726,11306.02103115184
727,11306.02103115184
728,11306.02103115184
729,11300.370845728976
730,10875.561062332295
731,10597.128094909198
732,10439.537257436466
733,10031.2826566409
734,9965.109572017445
735,9952.551110871816
736,10655.133725943248
737,10214.696126378542
738,10548.552185401772
739,10759.514583817372
740,10598.761171315939
