,equity
400,10000.0
401,10000.0
402,10000.0
403,10000.0
404,10000.0
405,10000.0
406,10000.0
407,10000.0
408,10000.0
409,10000.0
410,10000.0
411,10000.0
412,10000.0
413,10000.0
414,10000.0
415,9995.002498750626
416,10476.653632710793
417,10249.214006337403
418,10187.836165256987
419,10106.779411598696
420,9303.492993672246
421,9628.644241437056
422,9951.94486855126
423,10166.862464539638
424,10337.241646556151
425,11568.881754556514
426,12545.817717885366
427,12150.52744473657
428,12346.259483361533
429,12400.482596638263
430,12354.464835152117
431,12478.332182337683
432,12487.399289961386
433,12137.450299969532
434,11461.731752402598
435,11647.594532349121
436,12142.323529206054
437,12915.630179829286
438,13688.380997940769
439,14659.765099315335
440,15025.999838292548
441,16625.787783219872
442,15817.196540010616
443,18761.388216215295
444,30870.64761036589
445,34505.608399762394
446,27143.401388806098
447,25217.29092631085
448,31596.886593647036
449,46313.83493752588
450,45692.46302157141
451,42054.84802420888
452,69530.3729836003
453,79115.89568128064
454,64146.95556921524
455,77273.31233916525
456,64628.114066090675
457,64986.518317064736
458,66426.9029767694
459,67182.5709217501
460,58075.79954965127
461,57972.22224355473
462,47186.0869566434
463,50370.674040040714
464,49536.92851462008
465,49536.92851462008
466,49536.92851462008
467,49536.92851462008
468,49536.92851462008
469,49536.92851462008
470,49536.92851462008
471,49536.92851462008
472,49536.92851462008
473,49536.92851462008
474,49536.92851462008
475,49536.92851462008
476,49536.92851462008
477,49536.92851462008
478,49536.92851462008
479,49536.92851462008
480,49536.92851462008
481,49536.92851462008
482,49536.92851462008
483,49536.92851462008
484,49536.92851462008
485,49536.92851462008
486,49536.92851462008
487,49536.92851462008
488,49536.92851462008
489,49536.92851462008
490,49536.92851462008
491,49536.92851462008
492,49536.92851462008
493,49536.92851462008
494,49536.92851462008
495,49536.92851462008
496,49536.92851462008
497,49536.92851462008
498,49536.92851462008
499,49512.17242840588
500,48993.512676726496
501,47920.87871873418
502,46729.48756577405
503,47186.200332114015
504,48395.92857976415
