,equity
501,9995.002498750626
502,10367.169063173893
503,10672.696943553905
504,10947.431445174316
505,10226.097225788926
506,10013.974544940964
507,10337.70387921344
508,10838.651094556513
509,10310.080618250622
510,10177.316978362682
511,10377.532971179802
512,10364.299683779083
513,10466.056157396257
514,10445.542128895644
515,10414.877979900331
516,9462.555123534798
517,9462.555123534798
518,9462.555123534798
519,9462.555123534798
520,9462.555123534798
521,9462.555123534798
522,9462.555123534798
523,9462.555123534798
524,9462.555123534798
525,9462.555123534798
526,9462.555123534798
527,9462.555123534798
528,9462.555123534798
529,9462.555123534798
530,9462.555123534798
531,9462.555123534798
532,9462.555123534798
533,9462.555123534798
534,9462.555123534798
535,9462.555123534798
536,9462.555123534798
537,9462.555123534798
538,9462.555123534798
539,9462.555123534798
540,9462.555123534798
541,9462.555123534798
542,9462.555123534798
543,9462.555123534798
544,9462.555123534798
545,9462.555123534798
546,9462.555123534798
547,9462.555123534798
548,9462.555123534798
549,9462.555123534798
550,9462.555123534798
551,9462.555123534798
552,9462.555123534798
553,9462.555123534798
554,9462.555123534798
555,9462.555123534798
556,9462.555123534798
557,9462.555123534798
558,9462.555123534798
559,9462.555123534798
560,9457.826210429583
561,9650.973167451657
562,9481.146991865324
563,9481.146991865324
564,9481.146991865324
565,9481.146991865324
566,9481.146991865324
567,9481.146991865324
568,9481.146991865324
569,9481.146991865324
570,9481.146991865324
571,9481.146991865324
572,9481.146991865324
573,9481.146991865324
574,9481.146991865324
575,9481.146991865324
576,9481.146991865324
577,9481.146991865324
578,9481.146991865324
579,9481.146991865324
580,9481.146991865324
581,9481.146991865324
582,9481.146991865324
583,9481.146991865324
584,9481.146991865324
585,9481.146991865324
586,9481.146991865324
587,9481.146991865324
588,9481.146991865324
589,9481.146991865324
590,9481.146991865324
591,9481.146991865324
592,9481.146991865324
593,9481.146991865324
594,9481.146991865324
595,9481.146991865324
596,9481.146991865324
597,9481.146991865324
598,9481.146991865324
599,9481.146991865324
600,9481.146991865324
601,9481.146991865324
602,9481.146991865324
603,9481.146991865324
604,9481.146991865324
605,9481.146991865324
606,9481.146991865324
607,9481.146991865324
608,9481.146991865324
609,9481.146991865324
610,9481.146991865324
611,9481.146991865324
612,9481.146991865324
613,9476.408787471588
614,9240.071179270872
615,9585.076144543089
616,9118.13626969063
617,9118.13626969063
618,9118.13626969063
619,9118.13626969063
620,9118.13626969063
621,9118.13626969063
622,9118.13626969063
623,9118.13626969063
624,9118.13626969063
625,9118.13626969063
626,9118.13626969063
627,9118.13626969063
628,9118.13626969063
629,9118.13626969063
630,9118.13626969063
631,9118.13626969063
632,9118.13626969063
633,9118.13626969063
634,9118.13626969063
635,9118.13626969063
636,9113.579479950657
637,9070.044476902729
638,8948.47984546734
639,8804.639849797644
